,title,description
57,Как начать пользоваться бизнес-картой?,"Процесс различается в зависимости от вида карты и от того, на кого она выпущена, — на ЕИО Единоличный исполнительный орган, например директор или сотрудника. Виртуальной бизнес-картой можно пользоваться сразу после оформления — ее не нужно активировать. Как платить виртуальной картой Пластиковую карту сначала надо получить на встрече с представителем. Карту сотрудника нужно активировать, для любой бизнес-карты — установить пин‑код. Если бизнес-карта выпущена для ЕИО, без установки пин‑кода можно только платить по реквизитам карты или делать переводы. Как установить пин‑код: в мобильном приложении на главном экране нажмите на карту → «Действия» → «Управлять пин‑кодом»; в личном кабинете зайдите на экран карты → «Действия с картой» → «Установить пин‑код». Если бизнес-карта выпущена для сотрудника, для ее активации ЕИО должен подписать заявку в мобильном приложении или личном кабинете — она называется «Заявка на выпуск карты»: в мобильном приложении на главном экране нажмите плашку «Подпишите документы» → выберите заявку на выпуск карты → «Подписать»; в личном кабинете нажмите плашку «Подпишите документы» → выберите заявку на выпуск карты → «Подписать». После этого сотрудник может платить бизнес-картой по реквизитам или делать переводы. Чтобы пользоваться картой в офлайн-магазинах или банкоматах, ЕИО нужно установить пин‑код. Если бизнес-карта не работает, напишите в чат поддержки."
58,Как установить или изменить ПИН‑код бизнес-карты?,"Это могут сделать только владельцы бизнес-карты — в мобильном приложении Тинькофф Бизнеса или личном кабинете на сайте tinkoff.ru: Нажмите на значок бизнес-карты около счета. Нажмите «Действия» → «Установить ПИН‑код» или «Изменить ПИН‑код». Введите новый ПИН‑код, нажмите «Установить» и введите код из СМС. Готово! ПИН‑код начнет действовать сразу. Нажмите на счет, к которому привязана бизнес-карта → «Карты». Найдите нужную и нажмите на ее значок. Нажмите «Действия с картой» → «Установить ПИН‑код» или «Изменить ПИН‑код». Введите новый ПИН‑код, нажмите «Установить» и введите код из СМС. Готово! ПИН‑код начнет действовать сразу."
59,"​​Что делать, если у меня не активировалась бизнес-карта?","Обратитесь в поддержку, чтобы вам помогли активировать карту. Напишите в чат или позвоните в банк: 8 800 700‑66‑66."
60,"Что делать, если бизнес-карта не работает?",Такое может быть в нескольких случаях. Ваши действия будут зависеть от причины:
61,Что можно оплачивать бизнес-картой?,"Если у вас ИП, можете оплачивать покупки и для бизнеса, и для личных целей. Если у вас ООО, можете оплачивать покупки только для бизнеса — например, купить канцтовары, оплачивать представительские расходы, аренду офиса."
62,Как снять деньги с бизнес-карты и какая комиссия?,"В России с бизнес-карты можно снять только рубли через банкоматы Тинькофф, других банков и партнеров. Карта банкоматов Комиссия за снятие наличных с бизнес‑карт по тарифам Тинькофф Полные условия тарифов и комиссий Тинькофф Бизнеса На снятие наличных и переводы физлицам общий лимит. Если в расчетном периоде вы уже переводили деньги физлицам, а теперь решили снять наличные, нужно учесть обе суммы, чтобы рассчитать комиссию. Например, у вас Простой тариф. Вы совершили две операции: перевели физлицам 300 000 ₽ и сняли 200 000 ₽ с бизнес-карты. До 400 000 ₽ комиссия за переводы физлицам и снятие наличных — 1,5%. Лимит общий, и обе эти операции его расходуют. Вы уложились в лимит, когда переводили деньги: комиссия с 300 000 ₽ — 1,5% + 99 ₽ за операцию. Потом вы сняли 200 000 ₽: 100 000 ₽ из этой суммы укладываются в лимит, а 100 000 ₽ превышают его. Комиссия рассчитывается так: со 100 000 ₽ — 1,5%, с оставшихся 100 000 ₽ — 5% + 99 ₽ за операцию, так как после 400 000 ₽ включается новый лимит с повышенной комиссией. Таким образом, за переводы 300 000 ₽ физлицам и снятие 200 000 ₽ вы заплатите 11 198 ₽: 1,5% × 300 000 + 99 = 4599 ₽ — за перевод физлицам; 1,5% × 100 000 = 1500 ₽ — за снятие части наличных, которые укладываются в лимит 400 000 ₽; 5% × 100 000 + 99 = 5099 ₽ — за снятие наличных, которые превышают лимит 400 000 ₽. Валюту с бизнес-карты можно снять только за границей и только с бизнес-карты «Мир», которая привязана к вашему основному рублевому счету. «Мир» работает в некоторых странах, например в Абхазии, Беларуси и Казахстане. В конкретной стране карты «Мир» принимают не все банкоматы, поэтому перед поездкой постарайтесь снять наличные в России и взять их с собой — так будет надежнее. Список стран, где принимают бизнес-карту «Мир» Конвертация будет по курсу Тинькофф. Комиссию за снятие возьмут оба банка: в банкомате которого снимаете деньги и Тинькофф — в зависимости от тарифа."
63,Как пополнить бизнес-карту и какая комиссия?,"Пополнить бизнес-карту можно через банкоматы Тинькофф и партнеров, инкассацию, переводом на бизнес-карту. Карта банкоматов Тинькофф и партнеров Пополнение расчетного счета по реквизитам и от физических, и от юридических лиц — бесплатное. В остальных случаях комиссия будет зависеть от тарифа. Все способы мы перечислили в таблицах. Комиссия за пополнение через банкоматы Тинькофф Комиссия за пополнение через банкоматы других банков и партнеров Комиссия за пополнение через перевод на бизнес-карту Полные условия тарифов и комиссий Тинькофф Бизнеса"
64,Какие лимиты есть для бизнес-карты?,"Для бизнес-карты есть три вида лимитов: на ежемесячные расходы; на снятие наличных в сутки; на категории покупок, на которые разрешено тратить деньги, — например, топливо или супермаркеты. Как установить категории покупок С лимитами на ежемесячные расходы и категории покупок вы можете контролировать сотрудников, чтобы они не потратили с карты больше или на личные нужды. Как настроить лимиты"
65,Кто может управлять лимитами для бизнес-карты?,"Управлять лимитами и категориями трат могут только подписант или ЕИО — единоличный исполнительный орган, например директор. Чтобы сделать сотрудника подписантом, надо предоставить ему право подписи в мобильном приложении или личном кабинете. Как предоставить сотруднику право подписи"
66,Как установить лимиты для бизнес-карты?,"Это можно сделать в мобильном приложении или личном кабинете Тинькофф Бизнеса: в мобильном приложении выберите нужную карту → нажмите «Настройка трат» → выберите, какие лимиты изменить; в личном кабинете выберите нужную карту → нажмите «Действия с картой» → «Настроить лимиты» или «Задать категорию трат»."
67,Как заблокировать бизнес-карту?,"Заблокировать бизнес-карту можно самостоятельно в любой момент в мобильном приложении или личном кабинете Тинькофф Бизнеса. Заблокированную карту нельзя разблокировать, можно только выпустить новую. Как выпустить бизнес-карту Чтобы заблокировать бизнес-карту в мобильном приложении: На главной странице выберите счет → «Бизнес-карты». Кликните по нужной карте → «Действия» → «Заблокировать». Укажите причину блокировки → «Заблокировать». Чтобы заблокировать бизнес-карту в личном кабинете: Откройте вкладку «Счета и платежи» на левой панели. Кликните по нужной карте → «Заблокировать карту». Укажите причину блокировки → «Заблокировать»."
68,Что такое MCC‑коды и зачем они нужны?,"MCC‑код — это четырехзначный номер, который обозначает, чем занимается компания, какие товары или услуги продает: продукты питания, авиабилеты, топливо, строительные материалы и другие. Он присваивается продавцу, когда магазин начинает принимать к оплате банковские карты. Банк использует MCC‑код, чтобы зачислять бонусы или кэшбэк, контролировать расчеты и устанавливать ограничения по картам. Вы можете использовать MCC‑коды, чтобы управлять расходами сотрудников по бизнес-картам. В личном кабинете можно ограничить категории товаров, за которые сотрудник может расплачиваться бизнес-картой."
69,"Как я могу проконтролировать сотрудников, чтобы они не тратили деньги с бизнес-карты на личные нужды?","Чтобы сотрудники не тратили деньги на личные нужды, можно установить в настройках бизнес-карты категории товаров, на которые разрешено тратить деньги. Как оформить бизнес-карту для нового сотрудника В информации о карте есть блок с кнопкой «Настроить траты». Например, если указать в настройках категорию «Топливо», сотрудник не сможет рассчитаться бизнес-картой нигде, кроме заправок."
70,"Платно ли настраиваются категории товаров, за которые сотрудник может расплатиться бизнес-картой?","Выбрать, какие категории покупок может оплачивать сотрудник по существующей бизнес-карте, — бесплатно. Закажите нужное количество карт для сотрудников сразу с открытием расчетного счета. Сколько стоит выпустить бизнес-карту"
71,Какие виды покупок по карте я могу запретить?,"Вы можете сами настроить траты сотрудников в личном кабинете — ограничить покупки по карте одной или несколькими категориями товаров. Карту можно сделать топливной, продуктовой или любой другой. Никакие другие покупки сотрудник оплачивать не сможет. В Тинькофф около 40 категорий продавцов. Самые популярные: супермаркеты, топливо, дом, ремонт, фастфуд, транспорт."
72,Сколько категорий товаров можно установить для одной карты?,"Для одной карты можно добавить любое количество категорий. Чем больше категорий установите, тем меньше ограничений будет у сотрудника."
73,Как установить ограничения по виду покупок на карту?,Это можно сделать в мобильном приложении или личном кабинете Тинькофф Бизнеса: в мобильном приложении выберите нужную карту → нажмите «Настройка трат» → в разделе «Категории» выберите одну или несколько категорий товаров и услуг → нажмите «Установить категории»; в личном кабинете выберите нужную карту → нажмите «Действия с картой» → «Задать категорию трат».
74,Как установить одинаковые ограничения на несколько карт?,"Чтобы установить одинаковые ограничения на несколько карт сразу, выберите карты из списка и нажмите «Настроить траты»: В окне отметьте категории, по которым сотрудники могут тратить деньги, и нажмите «Установить»: Категории, которые вы настроили, отобразятся в списке карт у выбранных сотрудников:"
75,"Как определить, какая категория у магазина, где я покупаю?","Названия категорий интуитивно понятны. Если сомневаетесь или сложно определить категорию магазина, где сотрудники регулярно делают покупки, обратитесь к справочнику MCC‑кодов. Справочник MCC‑кодов Если не нашли нужной категории или остались вопросы — обратитесь к своему персональному менеджеру в чате."
76,Как снять ограничения по категориям товаров?,"Чтобы удалить ограничения по категориям товаров, в списке выберите нужные карты с отмеченными категориями и нажмите «Удалить категории»:"
77,Кто должен отчитываться о расходах по бизнес-карте?,"Если вы ИП на УСН 6% без сотрудников , вам не нужно отчитываться о расходах по бизнес-карте. Деньги на расчетном счете — ваши личные, и вы вправе использовать их по своему усмотрению. Налоговая не будет проверять эти расходы. Если вы на УСН 15% , то вам нужно отчитаться по расходам, которые относятся к деятельности ИП. По этим расходам, даже если вы платите через бизнес-карту, должны быть подтверждающие документы: накладные, акты, чеки, бланки строгой отчетности. Если вы ООО или ИП с сотрудниками , то сотрудники отчитываются обо всех расходах по бизнес-карте. Для этого сотрудник оформляет авансовый отчет и собирает первичные документы о расходовании ."
78,Как выдавать деньги сотрудникам на командировки или хозяйственные нужды компании?,"Если регулярно поручаете сотруднику расходы, оформите бизнес-карту на его имя. Сотрудник не должен будет каждый раз писать заявление на выдачу ему денег: оплата или снятие наличных с бизнес-карты считается фактом выдачи денег под отчет."
79,"Обычно для выдачи денег под отчет сотрудник пишет заявление. Нужно ли оно, если у сотрудника бизнес-карта?","Нет. Деньги, полученные со счета карты, считаются выданными сотруднику под отчет без заявления. При этом он все равно должен отчитаться обо всех расходах по карте."
80,Как сотрудники отчитываются о своих расходах по бизнес-карте?,"Если сотрудник снял наличные или расплатился с бизнес-карты, то сумма расхода считается выданной ему под отчет. Сотрудник должен предоставить авансовый отчет и приложить подтверждающие документы: кассовые и товарные чеки, бланки строгой отчетности и прочее."
81,Должен ли учредитель ООО отчитываться о своих расходах по бизнес-карте?,"Да. Деньги организации принадлежат не ему, а организации. Поэтому учредитель отчитывается о расходах так же, как обычный сотрудник."
82,"Какие документы нужно оформить, чтобы выдавать деньги сотрудникам под отчет?","Утвердите список штатных и внештатных сотрудников, имеющих право получать подотчетные деньги. Список оформляется отдельным приказом руководителя или предпринимателя. Если у вас ООО , добавьте в учетную политику: возможность выдавать подотчетные деньги безналичным способом (перечислять на личные или зарплатные карты сотрудников); порядок расчетов с подотчетными лицами; возможность возвращать неиспользованные подотчетные суммы на расчетный счет организации. порядок расчетов с подотчетными лицами; возможность возвращать неиспользованные подотчетные суммы на расчетный счет организации. возможность возвращать неиспользованные подотчетные суммы на расчетный счет организации. Если вы ИП , сделайте внутренний приказ о выдаче подотчетных сумм, в том числе безналичным переводом."
83,Как оформить авансовый отчет?,"Сотрудник, получивший деньги, заполняет авансовый отчет по форме N AO-1 : Наименование организации — укажите полное название: например, ООО «Компания». Дата — когда составлен отчет. ФИО и должность — кому выданы деньги. Назначение аванса — например, хозяйственные нужды, командировка, приобретение материальных ценностей. Предыдущий аванс — укажите данные о предыдущей выданной сумме, если получали. Таблица «Бухгалтерская запись» — бухгалтер указывает бухгалтерские проводки, записывает номера счетов, на которых отражаются израсходованные суммы. Приложение — бухгалтер указывает количество документов, подтверждающих расходы сотрудника и количество листов. Отчет проверен — проверенная и утвержденная сумма израсходованных денег прописью. Кассовый ордер — можно не указывать, если все расходы сотрудник оплатил корпоративной картой. Под линией отреза — эту часть бухгалтер отдает сотруднику, от которого принял отчет. Документ — сотрудник указывает все документы, подтверждающие расходы: чеки, квитанции, билеты, товарные накладные. Дебет счета, субсчета — заполняет бухгалтер. К отчету прикладывают все документы, подтверждающие расходы: чеки из банкоматов о снятии и внесении наличных; накладные; кассовые и товарные чеки; бланки строгой отчетности; квитанции; и прочее. Сотрудник сдает отчет в бухгалтерию и получает расписку о получении (отрезную часть формы N АО-1). После того, как руководитель организации утвердил авансовый отчет, организация принимает на учет товары, работы или услуги, оплаченные подотчетным лицом. Бухгалтер оформляет проводку в бухгалтерском учете: «Дт 10 (08, 20, 26, 44) — Кт 71 Приняты к учету товары (работы, услуги), приобретенные подотчетным лицом»."
84,Когда сотрудник должен сдать авансовый отчет?,"В срок, установленный компанией или предпринимателем. Он устанавливается внутренним документом о выдаче денег под отчет или в каждом отдельном приказе. С 30.11.2020 по Указу ЦБ РФ отменен трехдневный срок сдачи авансового отчета."
85,"Если сотрудник снял наличные с бизнес-карты, а потом вернул ту же сумму, должен ли он предоставить авансовый отчет?",Нет.
86,Что такое валютная бизнес-карта?,"Это банковская карта, которая привязана к валютному счету компании или ИП. Обычно валютной бизнес-картой можно пользоваться за границей: оплачивать покупки прямо с расчетного счета, пополнять счет, снимать наличные. Ее удобно выдавать сотрудникам для командировок. В Тинькофф к валютному счету можно выпустить бизнес-карты платежной системы «Мир». С марта 2022 года валютные бизнес-карты Visa и Mastercard не работают. Валютные бизнес-карты «Мир» работают в некоторых странах, например в Абхазии, Беларуси и Казахстане. Карту «Мир» можно привязать к Mir Pay и оплачивать ей покупки с телефона. Платить картой «Мир» можно только в офлайн-магазинах, делать покупки через интернет не получится. В каких странах работает платежная система «Мир» Валютная бизнес-карта Тинькофф может быть пластиковой или виртуальной. Обслуживание всех валютных бизнес‑карт Тинькофф — бесплатное. Чем виртуальная бизнес-карта отличается от пластиковой Баланс валютной бизнес-карты привязан к валютному счету бизнеса. Перевести рублевую бизнес-карту в валютную нельзя."
87,Как выпустить валютную бизнес-карту в Тинькофф?,"Валютную бизнес-карту можно выпустить только к валютному счету Тинькофф Бизнеса — в той валюте, в которой открыт счет: долларах США, юанях и казахстанских тенге. Валютный счет можно открыть, если у вас есть рублевый расчетный счет для бизнеса. Как открыть валютный счет Выпустить бизнес-карту может генеральный директор или подписант — тот, у кого есть право подписи документов в компании. Чтобы это сделать, в приложении Тинькофф Бизнеса или личном кабинете нужно выбрать счет и оформить заявку на выпуск карты к нему. Как выпустить бизнес-карту При оформлении заявки нужно выбрать платежную систему «Мир», поскольку Visa и Mastercard, выпущенные российскими банками, с марта 2022 года за границей не работают. Чем виртуальная бизнес-карта отличается от пластиковой"
88,Как в условиях ограничений работает валютная бизнес-карта?,"Оплачивать покупки за границей можно с помощью бизнес-карты «Мир». Она работает в некоторых странах, например в Абхазии, Беларуси и Казахстане. В конкретной стране «Мир» обслуживают не все банки, а значит карты принимают не во всех банкоматах и не во всех магазинах. Перед поездкой постарайтесь снять наличные и взять их с собой — так будет надежнее. Список стран, где принимают карты «Мир» Снимать валюту с валютной бизнес-карты «Мир» не получится — только с рублевой, привязанной к вашему основному рублевому счету. Конвертация будет по курсу Тинькофф. Комиссию за снятие возьмут оба банка: в банкомате которого снимаете деньги и Тинькофф — в зависимости от тарифа. Полные условия тарифов и комиссий Тинькофф Бизнеса"
89,Что такое виртуальная бизнес-карта?,"Это аналог обычной бизнес-карты. Виртуальная карта тоже привязана к расчетному счету ИП или юридического лица, но существует только в цифровом виде — заказать к ней пластиковую карту с такими же реквизитами нельзя. Хранится виртуальная карта в мобильном приложении и личном кабинете Тинькофф Бизнеса. Это значит, что посторонние с меньшей вероятностью получат доступ к вашим деньгам. Чем виртуальная карта отличается от пластиковой"
90,Зачем нужна виртуальная бизнес-карта?,"Ее можно использовать как обычную дебетовую карту. Расплачиваться в интернете. Функциональность, как у обычной карты: можно разово указать ее реквизиты на сайте или привязать их для регулярных покупок. Это удобно, если магазин не вызывает доверия: чтобы не сообщать ему реквизиты основной карты, выпустите виртуальную карту, укажите ее реквизиты в магазине, а на самой карте установите лимит расходов, чтобы не списалось лишнее. Как настроить лимиты по бизнес-карте Расплачиваться бесконтактно в офлайн-магазинах. С марта 2022 для российских карт Visa и Mastercard недоступна оплата через Apple Pay и Google Pay. Чтобы расплачиваться бесконтактно, на устройствах с Android можно добавить бизнес-карту в приложение Mir Pay с помощью подсказок в приложении. Распределить расходы. С помощью разных карт можно распределить расходы — с одной оплачивать только транспорт, с другой — только аренду и коммунальные платежи. Так будет проще контролировать разные крупные статьи расходов. Использовать в командировках. Авиакомпании, отели, сервисы по прокату автомобилей могут заморозить на карте депозит за бронирование. Если вы укажете номер виртуальной карты, на которую установили лимит, сможете защитить себя от внезапно обнулившегося баланса. Как настроить лимиты по бизнес-карте С марта 2022 года российские карты Visa и Mastercard не работают за границей. В некоторых странах, например в Абхазии, Беларуси и Казахстане, оплачивать покупки можно только с помощью бизнес-карты «Мир». Карту можно привязать к Mir Pay и оплачивать ей покупки в офлайн-магазинах. Делать покупки в зарубежных интернет-магазинах не получится. В каких странах работает платежная система «Мир»"
91,Сколько стоит обслуживание виртуальной бизнес-карты?,Выпуск и обслуживание виртуальной бизнес-карты — бесплатно. Как выпустить виртуальную бизнес-карту
92,Как выпустить виртуальную бизнес-карту?,"Виртуальную бизнес-карту может выпустить только ЕИО Единоличный исполнительный орган, например директор . Выпустить бизнес-карту себе можно в мобильном приложении или личном кабинете Тинькофф Бизнеса: Внизу главного экрана нажмите «Открыть новый продукт» → «Выпустить карту». Выберите счет, к которому хотите выпустить бизнес-карту. Выберите «Мне» → «Виртуальная». Выберите платежную систему «Мир». Выберите «Выпустить бесплатно». Введите код из СМС или пуш‑уведомления. Готово! Вы выпустили виртуальную бизнес-карту и уже можете ей пользоваться. На главной выберите счет, к которому хотите выпустить бизнес-карту. Нажмите на значок плюса. Выберите тип карты: «Виртуальная». Выберите платежную систему «Мир». Выберите «Выпустить бесплатно». Введите код из СМС или пуш‑уведомления. Готово! Вы выпустили виртуальную бизнес-карту и уже можете ей пользоваться. Если вы хотите выпустить виртуальную бизнес-карту другому сотруднику, напишите в чат поддержки Тинькофф Бизнеса или позвоните по телефону 8 800 700‑66‑66 ."
93,Как платить виртуальной бизнес-картой?,"Платить виртуальной картой можно в интернете. Просто введите ее реквизиты — номер, срок действия, CVC‑код — на сайте магазина. Где посмотреть реквизиты виртуальной бизнес-карты Если хотите расплачиваться бесконтактно в офлайн-магазинах, добавьте карту в приложение Mir Pay с помощью подсказок в приложении. Приложение работает только на Android."
94,Где посмотреть реквизиты виртуальной бизнес-карты?,Это можно сделать в мобильном приложении или личном кабинете Тинькофф Бизнеса: В мобильном приложении на главном экране кликните по карте → Действия → «Посмотреть реквизиты». В личном кабинете на главной странице кликните по карте → нажмите на кнопку «Реквизиты».
95,Как заблокировать виртуальную бизнес-карту?,"Заблокировать виртуальную бизнес-карту можно самостоятельно в любой момент в мобильном приложении или личном кабинете Тинькофф Бизнеса. Заблокированную карту нельзя разблокировать, можно только выпустить новую. Как выпустить виртуальную бизнес-карту Чтобы заблокировать виртуальную бизнес-карту в мобильном приложении: На главной странице выберите счет → «Бизнес-карты». Кликните по нужной карте → «Действия» → «Заблокировать». Укажите причину блокировки → «Заблокировать». Чтобы заблокировать виртуальную бизнес-карту в личном кабинете: Откройте вкладку «Счета и платежи» на левой панели. Кликните по нужной карте → «Заблокировать карту». Укажите причину блокировки → «Заблокировать»."
96,Что такое бизнес-копилка?,"Бизнес-копилка — это дополнительный счет, на который можно автоматически перечислять процент с дохода компании на любые цели: на налоги, аренду, зарплату, оборудование и т. д. Вы сами определяете процент отчислений и счета, с которых хотите пополнять копилку, а мы автоматически перечисляем туда деньги. Например, вы хотите сразу откладывать 6% на налоги и 10% на новый служебный автомобиль. Для каждой цели можно открыть отдельную копилку. С помощью копилки удобно распределять доходы — не надо вручную переводить на разные счета, запоминать, сколько и куда перевести. Настраиваете копилку один раз, а дальше отчисления идут автоматически."
97,Сколько стоит обслуживание копилки?,"Вы не платите за копилки — неважно, сколько их у вас. Платить нужно только за обслуживание основного рублевого счета. Тарифы Тинькофф Бизнеса"
98,Как открыть копилку?,"Открыть бизнес-копилку можно в мобильном приложении Тинькофф Бизнеса. На главном экране мобильного приложения нажмите «Новый продукт» → «Открыть бизнес-копилку». Выберите счета, с которых планируете откладывать деньги. Список счетов можно будет изменить. Укажите, сколько хотите откладывать. Процент можно будет изменить в любой момент. Готово. Обычно открываем копилку за 5 минут, иногда — до дня. Когда откроем, пришлем уведомление."
99,Как воспользоваться деньгами в копилке?,"Копилкой можно пользоваться как обычным рублевым счетом. Например, можно заплатить налоги прямо из копилки, отправить деньги на депозит или перевести обратно на основной счет. Ко всем этим операциям применяются те же тарифы и лимиты, что и к основному счету. Тарифы Тинькофф Бизнеса"
